InsertedVersion;AggregateId;InsertedVersion;ExpectedVersion;AfterNewSchemaVersionIncrement
3617;C30EAD62-EE8C-4A4E-9B56-6A1CAFAC5801;3617;3616;3
1005;2193FD1E-F884-4CE6-8423-7423E65A42C9;1005;991;2
1092;4206C437-04C7-4253-8DE3-012C90C19308;1092;1091;3
777;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;777;766;2
787;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;787;767;3
802;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;802;768;4
822;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;822;769;5
847;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;847;770;6
875;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;875;771;7
974;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;974;772;8
975;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;975;773;9
1012;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;1012;774;10
1015;EDB52322-0F4E-4A26-9874-F2D0AF2734BA;1015;775;11
